,"bot_0 (0.05, 0.8)","bot_1 (0.05, 0.9)","bot_2 (0.1, 0.8)","bot_3 (0.1, 0.9)","bot_4 (0.15, 0.85)","bot_5 (0.15, 0.95)","bot_6 (0.2, 0.8)","bot_7 (0.2, 0.9)","bot_8 (0.25, 0.85)","bot_9 (0.25, 0.95)","bot_10 (0.3, 0.8)","bot_11 (0.3, 0.9)","bot_12 (0.35, 0.85)","bot_13 (0.35, 0.95)"
"bot_0 (0.05, 0.8)",X,0.5,0.5,0.7,0.4,0.7,0.5,0.5,0.7,0.7,0.6,0.7,0.4,0.5
"bot_1 (0.05, 0.9)",0.5,X,0.3,0.5,0.3,0.5,0.6,0.6,0.5,0.5,0.8,0.3,0.4,0.7
"bot_2 (0.1, 0.8)",0.5,0.7,X,0.5,0.3,0.6,0.6,0.4,0.4,0.7,0.5,0.7,0.7,0.4
"bot_3 (0.1, 0.9)",0.3,0.5,0.5,X,0.4,0.2,0.6,0.6,0.7,0.6,0.5,0.6,0.4,0.6
"bot_4 (0.15, 0.85)",0.6,0.7,0.7,0.6,X,0.5,0.6,0.4,0.4,0.4,0.6,0.6,0.7,0.5
"bot_5 (0.15, 0.95)",0.3,0.5,0.4,0.8,0.5,X,0.5,0.6,0.5,0.6,0.6,0.4,0.5,0.5
"bot_6 (0.2, 0.8)",0.5,0.4,0.4,0.4,0.4,0.5,X,0.3,0.4,0.3,0.4,0.2,0.5,0.4
"bot_7 (0.2, 0.9)",0.5,0.4,0.6,0.4,0.6,0.4,0.7,X,0.4,0.2,0.5,0.5,0.5,0.4
"bot_8 (0.25, 0.85)",0.3,0.5,0.6,0.3,0.6,0.5,0.6,0.6,X,0.8,0.4,0.5,0.6,0.8
"bot_9 (0.25, 0.95)",0.3,0.5,0.3,0.4,0.6,0.4,0.7,0.8,0.2,X,0.4,0.6,0.8,0.6
"bot_10 (0.3, 0.8)",0.4,0.2,0.5,0.5,0.4,0.4,0.6,0.5,0.6,0.6,X,0.6,0.5,0.7
"bot_11 (0.3, 0.9)",0.3,0.7,0.3,0.4,0.4,0.6,0.8,0.5,0.5,0.4,0.4,X,0.6,0.5
"bot_12 (0.35, 0.85)",0.6,0.6,0.3,0.6,0.3,0.5,0.5,0.5,0.4,0.2,0.5,0.4,X,0.7
"bot_13 (0.35, 0.95)",0.5,0.3,0.6,0.4,0.5,0.5,0.6,0.6,0.2,0.4,0.3,0.5,0.3,X
