,"bot_0 (0.05, 0.8)","bot_1 (0.05, 0.9)","bot_2 (0.1, 0.8)","bot_3 (0.1, 0.9)","bot_4 (0.15, 0.85)","bot_5 (0.15, 0.95)","bot_6 (0.2, 0.8)","bot_7 (0.2, 0.9)","bot_8 (0.25, 0.85)","bot_9 (0.25, 0.95)","bot_10 (0.3, 0.8)","bot_11 (0.3, 0.9)","bot_12 (0.35, 0.85)","bot_13 (0.35, 0.95)"
"bot_0 (0.05, 0.8)",X,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
"bot_1 (0.05, 0.9)",2.0,X,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"bot_2 (0.1, 0.8)",0.0,0.0,X,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bot_3 (0.1, 0.9)",2.0,2.0,0.0,X,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"bot_4 (0.15, 0.85)",0.0,0.0,0.0,0.0,X,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
"bot_5 (0.15, 0.95)",0.0,0.0,0.0,0.0,2.0,X,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
"bot_6 (0.2, 0.8)",0.0,2.0,0.0,0.0,0.0,2.0,X,2.0,0.0,0.0,2.0,2.0,2.0,0.0
"bot_7 (0.2, 0.9)",0.0,0.0,2.0,2.0,2.0,2.0,0.0,X,0.0,2.0,0.0,2.0,0.0,0.0
"bot_8 (0.25, 0.85)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,2.0,0.0,0.0,2.0,0.0
"bot_9 (0.25, 0.95)",2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,X,2.0,2.0,0.0,0.0
"bot_10 (0.3, 0.8)",2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,X,0.0,2.0,2.0
"bot_11 (0.3, 0.9)",0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,X,0.0,2.0
"bot_12 (0.35, 0.85)",0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,X,0.0
"bot_13 (0.35, 0.95)",0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,X
